,participant,task,trial,choice,reward,RT,expected_reward0,expected_reward1,forced_choice,horizon
240,0,33,0,1,80.0,0.356555,60,80,True,10
241,0,33,1,0,61.0,0.291477,60,80,True,10
242,0,33,2,1,69.0,0.294076,60,80,True,10
243,0,33,3,0,50.0,0.368467,60,80,True,10
244,0,33,4,1,86.0,1.407042,60,80,False,10
245,0,33,5,0,63.0,0.685031,60,80,False,10
246,0,33,6,1,69.0,0.21386,60,80,False,10
247,0,33,7,0,58.0,0.236373,60,80,False,10
248,0,33,8,1,75.0,0.13412,60,80,False,10
249,0,33,9,1,82.0,1.988967,60,80,False,10
250,0,34,0,0,51.0,0.442672,60,30,True,5
251,0,34,1,0,50.0,0.320846,60,30,True,5
252,0,34,2,1,23.0,0.321508,60,30,True,5
253,0,34,3,1,41.0,0.342418,60,30,True,5
254,0,34,4,0,57.0,1.306266,60,30,False,5
255,0,35,0,1,21.0,0.38046,40,20,True,10
256,0,35,1,0,34.0,0.395783,40,20,True,10
257,0,35,2,0,38.0,0.385719,40,20,True,10
258,0,35,3,1,12.0,0.369908,40,20,True,10
259,0,35,4,0,58.0,0.719654,40,20,False,10
260,0,35,5,0,43.0,0.177462,40,20,False,10
261,0,35,6,0,54.0,0.166836,40,20,False,10
262,0,35,7,0,33.0,0.133849,40,20,False,10
263,0,35,8,0,46.0,0.133746,40,20,False,10
264,0,35,9,0,36.0,0.091282,40,20,False,10
265,0,36,0,1,36.0,0.364966,48,40,True,10
266,0,36,1,0,44.0,0.389078,48,40,True,10
267,0,36,2,1,35.0,0.274117,48,40,True,10
268,0,36,3,0,38.0,0.311347,48,40,True,10
269,0,36,4,1,41.0,0.231546,48,40,False,10
270,0,36,5,0,55.0,2.269244,48,40,False,10
271,0,36,6,0,62.0,0.254578,48,40,False,10
272,0,36,7,0,60.0,0.074365,48,40,False,10
273,0,36,8,0,52.0,0.11668,48,40,False,10
274,0,36,9,0,47.0,0.076083,48,40,False,10
275,0,37,0,0,42.0,0.438139,40,60,True,10
276,0,37,1,1,62.0,0.298462,40,60,True,10
277,0,37,2,1,52.0,0.348076,40,60,True,10
278,0,37,3,0,38.0,0.419751,40,60,True,10
279,0,37,4,1,62.0,0.769278,40,60,False,10
280,0,37,5,1,59.0,0.183972,40,60,False,10
281,0,37,6,1,55.0,0.110608,40,60,False,10
282,0,37,7,1,59.0,0.118539,40,60,False,10
283,0,37,8,1,52.0,0.142812,40,60,False,10
284,0,37,9,1,64.0,0.053318,40,60,False,10
285,0,38,0,1,22.0,0.351537,40,28,True,10
286,0,38,1,1,38.0,0.329249,40,28,True,10
287,0,38,2,0,30.0,0.386418,40,28,True,10
288,0,38,3,0,41.0,0.336964,40,28,True,10
289,0,38,4,1,25.0,2.384631,40,28,False,10
290,0,38,5,0,39.0,0.232249,40,28,False,10
291,0,38,6,1,19.0,0.259806,40,28,False,10
292,0,38,7,0,60.0,0.189887,40,28,False,10
293,0,38,8,0,58.0,0.050835,40,28,False,10
294,0,38,9,0,42.0,0.029537,40,28,False,10
295,0,39,0,1,61.0,0.330389,60,48,True,5
296,0,39,1,0,56.0,0.32991,60,48,True,5
297,0,39,2,1,53.0,0.244613,60,48,True,5
298,0,39,3,0,58.0,0.296007,60,48,True,5
299,0,39,4,0,65.0,6.22685,60,48,False,5
300,0,40,0,0,53.0,0.32038,40,52,True,5
301,0,40,1,0,52.0,0.288941,40,52,True,5
302,0,40,2,1,70.0,0.341189,40,52,True,5
303,0,40,3,1,47.0,0.572428,40,52,True,5
304,0,40,4,1,47.0,2.035149,40,52,False,5
305,0,41,0,0,1.0,0.423189,10,40,True,10
306,0,41,1,0,1.0,0.250884,10,40,True,10
307,0,41,2,1,32.0,0.312056,10,40,True,10
308,0,41,3,1,36.0,0.282433,10,40,True,10
309,0,41,4,0,14.0,0.517495,10,40,False,10
310,0,41,5,1,40.0,0.237884,10,40,False,10
311,0,41,6,1,34.0,0.042602,10,40,False,10
312,0,41,7,1,37.0,0.037908,10,40,False,10
313,0,41,8,1,34.0,0.007993,10,40,False,10
314,0,41,9,1,25.0,0.001091,10,40,False,10
315,0,42,0,0,30.0,0.363708,40,44,True,5
316,0,42,1,1,24.0,0.297806,40,44,True,5
317,0,42,2,1,48.0,0.268737,40,44,True,5
318,0,42,3,1,54.0,0.439978,40,44,True,5
319,0,42,4,1,38.0,1.586834,40,44,False,5
320,0,43,0,1,30.0,0.305528,40,36,True,10
321,0,43,1,1,34.0,0.276056,40,36,True,10
322,0,43,2,1,31.0,0.287292,40,36,True,10
323,0,43,3,0,49.0,0.458497,40,36,True,10
324,0,43,4,0,49.0,1.772046,40,36,False,10
325,0,43,5,0,37.0,0.364579,40,36,False,10
326,0,43,6,1,34.0,2.315385,40,36,False,10
327,0,43,7,0,48.0,0.604715,40,36,False,10
328,0,43,8,0,44.0,0.24866,40,36,False,10
329,0,43,9,0,33.0,0.090219,40,36,False,10
330,0,44,0,1,70.0,0.40337,60,64,True,5
331,0,44,1,1,88.0,0.330579,60,64,True,5
332,0,44,2,1,68.0,0.258396,60,64,True,5
333,0,44,3,0,62.0,0.301798,60,64,True,5
334,0,44,4,1,62.0,0.639834,60,64,False,5
335,0,45,0,0,59.0,0.411056,60,90,True,10
336,0,45,1,0,52.0,0.319489,60,90,True,10
337,0,45,2,0,52.0,0.308873,60,90,True,10
338,0,45,3,1,96.0,0.348907,60,90,True,10
339,0,45,4,1,84.0,0.459409,60,90,False,10
340,0,45,5,1,83.0,0.222537,60,90,False,10
341,0,45,6,1,69.0,0.138762,60,90,False,10
342,0,45,7,1,89.0,0.122334,60,90,False,10
343,0,45,8,1,94.0,0.114654,60,90,False,10
344,0,45,9,1,95.0,0.056779,60,90,False,10
345,0,46,0,1,40.0,0.307669,44,40,True,10
346,0,46,1,0,60.0,0.325622,44,40,True,10
347,0,46,2,0,45.0,0.279681,44,40,True,10
348,0,46,3,0,38.0,0.290734,44,40,True,10
349,0,46,4,0,47.0,1.444828,44,40,False,10
350,0,46,5,1,26.0,0.68099,44,40,False,10
351,0,46,6,0,54.0,0.154827,44,40,False,10
352,0,46,7,0,25.0,0.096542,44,40,False,10
353,0,46,8,0,46.0,0.035199,44,40,False,10
354,0,46,9,0,47.0,0.005997,44,40,False,10
355,0,47,0,1,86.0,0.338721,60,90,True,5
356,0,47,1,0,55.0,0.299472,60,90,True,5
357,0,47,2,1,78.0,0.262087,60,90,True,5
358,0,47,3,0,68.0,0.418617,60,90,True,5
359,0,47,4,1,82.0,0.199151,60,90,False,5
360,0,48,0,0,56.0,0.380147,60,80,True,5
361,0,48,1,1,81.0,0.297315,60,80,True,5
362,0,48,2,0,63.0,0.34299,60,80,True,5
363,0,48,3,1,69.0,0.294445,60,80,True,5
364,0,48,4,1,86.0,0.696499,60,80,False,5
365,0,49,0,0,40.0,0.338214,52,40,True,10
366,0,49,1,1,40.0,0.258745,52,40,True,10
367,0,49,2,1,45.0,0.353402,52,40,True,10
368,0,49,3,0,62.0,0.287085,52,40,True,10
369,0,49,4,0,47.0,1.513469,52,40,False,10
370,0,49,5,1,47.0,0.200853,52,40,False,10
371,0,49,6,0,55.0,0.126137,52,40,False,10
372,0,49,7,0,56.0,0.038278,52,40,False,10
