,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
10568,6535203292.0,,-1.0,0.6,0.4,538.0,1.0,-1.0,1.0,1.0,0.0,11.0,3.0,-1.0,-1.0,4.0,2.0,-1.0,0.0,-1.0,4.0,2.0,0.2,-0.2,-1.0,0.0,129914.0,0.0,0.0,
10569,4654212483.0,,0.0,0.3,0.0,947.0,-1.0,-1.0,1.0,1.0,1.0,66.0,-1.0,3.0,0.0,-1.0,-1.0,-1.0,51.0,0.0,-1.0,-1.0,-0.4,-1.0,0.0,0.0,1377605.0,-1.0,0.0,
10570,3884054825.0,,-1.0,0.8,0.2,888.0,-1.0,-1.0,1.0,1.0,0.0,10.0,1.0,-1.0,-1.0,1.0,8.0,1.0,0.0,-1.0,8.0,1.0,0.6,-0.6,-1.0,1.0,133090.0,0.0,0.0,
10571,1417038595.0,,0.0,0.3,0.4,1945.0,-1.0,1.0,1.0,0.0,1.0,93.0,-1.0,3.0,4.0,-1.0,-1.0,1.0,48.0,0.0,-1.0,-1.0,-0.4,-0.2,0.0,1.0,2063349.0,-1.0,0.0,
10572,1735261667.0,,2.0,0.2,0.0,4549.0,1.0,-1.0,20.0,1.0,1.0,9.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,86.0,0.0,-1.0,-1.0,-0.6,-1.0,0.0,0.0,1498289.0,0.0,0.64,
10573,5716272819.0,,0.0,0.6,0.0,915.0,1.0,-1.0,1.0,1.0,1.0,3.0,-1.0,6.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2,-1.0,0.0,0.0,228096.0,-1.0,0.0,
10574,2629781690.0,,0.0,0.7,0.1,2586.0,-1.0,-1.0,1.0,1.0,1.0,2.0,-1.0,7.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.8,0.0,0.0,194236.0,-1.0,0.0,
10575,159914671.0,,-1.0,0.9,0.1,1965.0,1.0,-1.0,1.0,1.0,0.0,11.0,0.0,-1.0,-1.0,2.0,5.0,1.0,0.0,-1.0,5.0,2.0,0.8,-0.8,-1.0,1.0,120187.0,0.0,0.0,
10576,1193652505.0,,-1.0,0.9,0.1,1418.0,1.0,-1.0,1.0,1.0,1.0,82.0,0.0,9.0,1.0,14.0,2.0,-1.0,45.0,0.0,14.0,2.0,0.8,-0.8,-1.0,0.0,1761815.0,0.0,0.0,
10577,6017802110.0,,0.0,0.3,0.7,880.0,1.0,-1.0,2.0,1.0,1.0,16.0,-1.0,3.0,7.0,-1.0,-1.0,-1.0,45.0,0.0,-1.0,-1.0,-0.4,0.4,0.0,1.0,1314796.0,-1.0,0.0,
10578,2656619196.0,,0.0,0.2,0.0,864.0,-1.0,-1.0,1.0,1.0,1.0,6.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.6,-1.0,0.0,0.0,169218.0,-1.0,0.0,
10579,3884054825.0,,-1.0,0.8,0.2,812.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,-1.0,-1.0,1.0,8.0,1.0,0.0,-1.0,8.0,1.0,0.6,-0.6,-1.0,1.0,136498.0,0.0,0.0,
10580,4654212483.0,,0.0,0.3,0.2,1116.0,1.0,-1.0,1.0,1.0,1.0,67.0,-1.0,3.0,2.0,-1.0,-1.0,1.0,52.0,0.0,-1.0,-1.0,-0.4,-0.6,0.0,1.0,1381068.0,-1.0,0.0,
10581,1417038595.0,,0.0,0.3,0.9,913.0,1.0,-1.0,2.0,1.0,1.0,94.0,-1.0,3.0,9.0,-1.0,-1.0,-1.0,49.0,0.0,-1.0,-1.0,-0.4,0.8,0.0,1.0,2067802.0,-1.0,0.0,
10582,6065532604.0,,0.0,0.6,0.3,3141.0,-1.0,1.0,2.0,0.0,1.0,0.0,-1.0,6.0,3.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.2,-0.4,0.0,0.0,206998.0,-1.0,0.0,
10583,2629781690.0,,0.0,0.7,0.0,802.0,-1.0,1.0,2.0,0.0,1.0,3.0,-1.0,7.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.4,-1.0,0.0,1.0,199324.0,-1.0,0.0,
10584,5716272819.0,,0.0,0.7,0.4,1021.0,-1.0,-1.0,1.0,1.0,1.0,4.0,-1.0,7.0,4.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.2,1.0,1.0,231515.0,-1.0,0.0,
10585,1193652505.0,,-1.0,0.9,0.1,769.0,1.0,-1.0,1.0,1.0,1.0,83.0,0.0,9.0,1.0,14.0,2.0,-1.0,46.0,0.0,14.0,2.0,0.8,-0.8,-1.0,0.0,1766304.0,0.0,0.0,
10586,1735261667.0,,2.0,0.8,0.0,4548.0,1.0,-1.0,80.0,1.0,1.0,10.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,87.0,0.0,-1.0,-1.0,0.6,-1.0,0.0,0.0,1503544.0,0.0,0.64,
